sample,context,precision,sensitivity,fmeasure
HiSeqX10_LAB02_Son_REP02,L1,0.9966,0.9794,0.9879
HiSeqX10_LAB02_Son_REP02,L2,0.9987,0.9963,0.9975
HiSeqX10_LAB02_Son_REP02,lowcomplexity,0.9950,0.9882,0.9916
HiSeqX10_LAB02_Son_REP02,LTR,0.9982,0.9945,0.9964
HiSeqX10_LAB02_Son_REP02,satellite,0.9936,0.9898,0.9917
HiSeqX10_LAB02_Son_REP02,simplerepeat,0.9914,0.9855,0.9884
HiSeqX10_LAB02_Son_REP03,Alu,0.9975,0.9939,0.9957
HiSeqX10_LAB02_Son_REP03,L1,0.9969,0.9803,0.9885
HiSeqX10_LAB02_Son_REP03,L2,0.9987,0.9961,0.9974
HiSeqX10_LAB02_Son_REP03,lowcomplexity,0.9949,0.9877,0.9913
HiSeqX10_LAB02_Son_REP03,LTR,0.9983,0.9948,0.9966
HiSeqX10_LAB02_Son_REP03,satellite,0.9936,0.9877,0.9907
HiSeqX10_LAB02_Son_REP03,simplerepeat,0.9908,0.9846,0.9877
MGISEQ2000_LAB01_Father_REP01,Alu,0.9976,0.9950,0.9963
MGISEQ2000_LAB01_Father_REP01,L1,0.9965,0.9814,0.9889
MGISEQ2000_LAB01_Father_REP01,L2,0.9987,0.9956,0.9972
MGISEQ2000_LAB01_Father_REP01,lowcomplexity,0.9931,0.9844,0.9887
MGISEQ2000_LAB01_Father_REP01,LTR,0.9985,0.9939,0.9962
MGISEQ2000_LAB01_Father_REP01,satellite,0.9940,0.9842,0.9891
MGISEQ2000_LAB01_Father_REP01,simplerepeat,0.9916,0.9810,0.9863
MGISEQ2000_LAB01_Mother_REP01,Alu,0.9972,0.9945,0.9959
MGISEQ2000_LAB01_Mother_REP01,L1,0.9966,0.9810,0.9887
MGISEQ2000_LAB01_Mother_REP01,L2,0.9988,0.9948,0.9968
MGISEQ2000_LAB01_Mother_REP01,lowcomplexity,0.9903,0.9805,0.9854
MGISEQ2000_LAB01_Mother_REP01,LTR,0.9981,0.9945,0.9963
MGISEQ2000_LAB01_Mother_REP01,satellite,0.9941,0.9534,0.9733
MGISEQ2000_LAB01_Mother_REP01,simplerepeat,0.9904,0.9782,0.9842
MGISEQ2000_LAB01_Mother_REP02,Alu,0.9977,0.9947,0.9962
MGISEQ2000_LAB01_Mother_REP02,L1,0.9966,0.9787,0.9876
MGISEQ2000_LAB01_Mother_REP02,L2,0.9987,0.9950,0.9969
MGISEQ2000_LAB01_Mother_REP02,lowcomplexity,0.9936,0.9840,0.9888
MGISEQ2000_LAB01_Mother_REP02,LTR,0.9983,0.9942,0.9963
MGISEQ2000_LAB01_Mother_REP02,satellite,0.9906,0.9481,0.9689
MGISEQ2000_LAB01_Mother_REP02,simplerepeat,0.9892,0.9739,0.9815
MGISEQ2000_LAB01_Son_REP01,Alu,0.9981,0.9955,0.9968
MGISEQ2000_LAB01_Son_REP01,L1,0.9973,0.9810,0.9891
MGISEQ2000_LAB01_Son_REP01,L2,0.9988,0.9961,0.9975
MGISEQ2000_LAB01_Son_REP01,lowcomplexity,0.9928,0.9773,0.9850
MGISEQ2000_LAB01_Son_REP01,LTR,0.9986,0.9951,0.9969
MGISEQ2000_LAB01_Son_REP01,satellite,0.9923,0.9912,0.9917
MGISEQ2000_LAB01_Son_REP01,simplerepeat,0.9902,0.9777,0.9839
NovaSeq2x150_LAB01_Father_REP01,Alu,0.9971,0.9948,0.9960
NovaSeq2x150_LAB01_Father_REP01,L1,0.9969,0.9844,0.9906
NovaSeq2x150_LAB01_Father_REP01,L2,0.9987,0.9963,0.9975
NovaSeq2x150_LAB01_Father_REP01,lowcomplexity,0.9956,0.9889,0.9923
NovaSeq2x150_LAB01_Father_REP01,LTR,0.9981,0.9951,0.9966
NovaSeq2x150_LAB01_Father_REP01,satellite,0.9970,0.9906,0.9938
NovaSeq2x150_LAB01_Father_REP01,simplerepeat,0.9915,0.9860,0.9888
NovaSeq2x150_LAB01_Mother_REP01,Alu,0.9972,0.9946,0.9959
NovaSeq2x150_LAB01_Mother_REP01,L1,0.9975,0.9835,0.9904
NovaSeq2x150_LAB01_Mother_REP01,L2,0.9989,0.9960,0.9975
NovaSeq2x150_LAB01_Mother_REP01,lowcomplexity,0.9950,0.9875,0.9912
NovaSeq2x150_LAB01_Mother_REP01,LTR,0.9987,0.9951,0.9969
NovaSeq2x150_LAB01_Mother_REP01,satellite,0.9980,0.9539,0.9754
NovaSeq2x150_LAB01_Mother_REP01,simplerepeat,0.9912,0.9859,0.9886
NovaSeq2x150_LAB01_Son_REP01,Alu,0.9976,0.9949,0.9963
NovaSeq2x150_LAB01_Son_REP01,L1,0.9977,0.9839,0.9907
