sampleOverall,sampleIndiv,GC,normcov
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,41,44104499
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,42,41386604
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,43,38520239
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,44,35918574
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,45,33904037
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,46,32296772
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,47,31117618
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,48,29983677
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,49,28610493
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,50,26855704
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,51,24844897
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,52,22836351
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,53,20957829
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,54,19334541
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,55,17966211
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,56,16612019
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,57,15178976
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,58,13555941
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,59,11733372
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,60,9898498
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,61,8189989
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,62,6738540
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,63,5537604
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,64,4555080
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,65,3735327
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,66,3043885
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,67,2457512
BGISEQ500_LAB01_Mother_REP01,BGISEQ500_LAB01_Mother_REP01-lane01,68,1961110
