sampleOverall,sampleIndiv,GC,normcov
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,100,0.089027
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,0,2.892893
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,1,0.640949
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,2,0.621669
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,3,0.997578
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,4,0.751131
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,5,0.848926
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,6,1.300114
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,7,1.535838
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,8,1.149374
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,9,1.270565
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,10,1.232152
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,11,1.443527
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,12,1.389483
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,13,1.327551
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,14,1.335681
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,15,1.264777
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,16,1.201668
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,17,1.193470
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,18,1.171452
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,19,1.175912
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,20,1.158700
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,21,1.161870
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,22,1.125129
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,23,1.112135
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,24,1.093284
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,25,1.067332
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,26,1.058295
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,27,1.045087
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,28,1.040463
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,29,1.037263
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,30,1.033496
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,31,1.032721
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,32,1.037425
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,33,1.042714
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,34,1.047393
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,35,1.056882
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,36,1.065069
HiSeq2500_LAB02_Son_REP01,HiSeq2500_LAB02_Son_REP01,37,1.068407
